stock_code,pcf,div_5year_growth
5250,8.000,15.300
0800EA,0,0
7167,9.238,0.000
7086,92.329,0.000
5198,12.305,0.000
03028,161.358,0.000
7131,259.348,0.000
0218,9.150,0.000
0122,66.631,0.000
1481,24.628,-13.954
5281,5.059,0.000
9148,129.526,-12.945
7191,9.003,0.000
7146,3.512,0.000
0181,12.818,0.000
6599,2.639,0.000
5139,6.056,3.774
5185,29.100,12.624
7145,0.410,0.000
0258,26.012,0.000
7315,8.766,0.000
7078,3.559,-9.532
0209,21.350,0.000
5238,3.925,0.000
2658,18.815,-27.836
7609,11.562,5.922
5116,17.591,1.018
5115,1.780,0.000
2674,1.201,0.000
0079,81.586,0.000
2488,6.760,7.534
1163,7.750,47.927
03051,218.208,0.000
5269,4.111,-16.062
5127,19.805,-9.187
5293,6.363,0.000
5307,12.354,0.000
5120,15.730,-8.457
03011,14.163,0.000
1015,6.198,4.057
7031,16.696,0.000
6351,9.336,0.000
7083,6.148,4.240
0048,10.310,0.000
4758,9.128,0.000
0226,4.588,0.000
6556,2.447,5.922
5082,0.560,0.000
5568,22.436,-14.327
5088,32.590,-4.365
7090,15.291,16.722
5015,3.717,1.493
6432,9.668,4.564
0119,56.025,0.000
7214,4.502,3.450
7181,1.945,0.000
7007,113.985,0.000
0038,516.656,0.000
0068,412.449,0.000
7722,6.489,0.000
7129,8.876,-25.253
0159,9.265,0.000
0105,6.790,0.000
4057,20.954,0.000
7162,4.450,12.907
7054,25.415,0.000
03032,19.601,0.000
6399,2.467,-24.830
0072,"1,299.313",0.000
8176,8.431,0.000
7048,15.076,-16.745
5130,17.397,2.553
7099,6.457,0.000
5302,21.675,0.000
03037,18.992,0.000
8885,11.762,0.000
5204,28.462,0.000
7579,10.215,0.000
6888,11.780,3.304
5106,16.503,3.245
7120,0.000,0.000
2305,13.990,31.951
5021,3.557,-16.745
7005,8.140,0.000
03012,13.570,0.000
0098,13.773,0.000
5258,8.554,-0.287
7251,6.243,0.000
1899,2.249,12.888
6602,4.114,0.000
0187,18.252,0.000
5190,4.642,-33.167
3239,410.477,16.362
3395,3.160,-20.956
5196,5.779,2.707
4219,2.990,0.000
5248,7.956,13.495
9814,1.602,0.000
7668,14.179,-23.640
0263,10.348,0.000
6173,7.417,-30.117
5932,12.013,0.000
0195,11.235,0.000
6998,14.384,0.000
5032,4.751,-7.789
0179,9.851,0.000
5069,11.887,-9.712
0168,22.860,0.000
9288,3.598,11.558
7036,3.047,0.000
8133,5.169,-3.581
2771,0,0
5254,4.670,10.107
6297,4.069,0.000
5100,8.563,15.576
9938,38.672,0.000
0011,7.667,-12.945
4162,9.950,-12.235
7221,36.903,0.000
7188,68.864,0.000
5210,3.024,0.000
1818,21.966,0.641
03042,8.123,0.000
2828,4.205,8.447
7174,4.173,0.000
0191,14.702,0.000
2852,3.182,-17.812
7128,2.949,0.000
5105,2.257,0.000
5311,21.368,0.000
5099,0.000,0.000
5180,28.640,-13.373
0163,0.622,0.000
5257,7.100,3.714
03016,5.350,0.000
2836,16.605,2.975
03048,53.752,0.000
