Financial Year,Revenue ('000),Net ('000),EPS,DP%,Stock Code,Year
2022-12-31,3764281,66453,5.9,-,5250,2022
2021-12-31,2809085,43483,3.86,-,5250,2021
2020-12-31,2537563,29767,2.6,-,5250,2020
2019-12-31,2359399,54059,4.74,-,5250,2019
2018-12-31,2216099,51307,4.56,-,5250,2018
2022-12-31,-43296,-44529,-3.17,-,0800EA,2022
2021-12-31,-35524,-36748,-2.73,-1.36,0800EA,2021
2020-12-31,69764,68554,5.3,0.68,0800EA,2020
2019-12-31,77703,76517,6.05,0.39,0800EA,2019
2018-12-31,44114,42273,3.39,-,0800EA,2018
2022-12-31,550107,33146,10.78,0.37,7167,2022
2021-12-31,499860,39888,12.94,0.39,7167,2021
2020-12-31,501900,39475,12.76,0.42,7167,2020
2019-12-31,578678,48580,15.65,0.41,7167,2019
2018-12-31,501123,39054,12.58,0.4,7167,2018
2022-12-31,4450,67,0.03,-,7086,2022
2021-12-31,3231,-1101,-0.42,-,7086,2021
2020-12-31,3558,-593,-0.23,-,7086,2020
2019-12-31,5506,-681,-0.27,-,7086,2019
2018-12-31,3957,-987,-0.37,-,7086,2018
2022-12-31,100759,-2115,-1.17,-,5198,2022
2021-12-31,90430,1458,2.68,-,5198,2021
2020-12-31,87252,2319,1.28,-,5198,2020
2019-12-31,110725,1854,1.03,-,5198,2019
2018-12-31,112027,4308,2.39,-,5198,2018
2022-12-31,1243627,136,0.05,-,03028,2022
2021-12-31,1587516,167,0.05,19.8,03028,2021
2020-12-31,1328646,4032,2.16,-,03028,2020
2019-12-31,968393,1825,0.7,-,03028,2019
2023-03-31,12140,225,0.06,-,7131,2023
2022-03-31,9852,-2590,-0.85,-,7131,2022
2021-03-31,30313,2580,0.96,-,7131,2021
2020-03-31,24914,-573,-0.24,-,7131,2020
2019-03-31,26729,9483,4.25,-,7131,2019
2018-03-31,27731,3091,1.48,-,7131,2018
2023-02-28,132507,5741,1.66,0.12,0218,2023
2022-02-28,124930,7063,2.08,-,0218,2022
2021-02-28,110590,2846,0.9,0.33,0218,2021
2020-02-29,30447,1741,0.72,-,0218,2020
2022-12-31,4046,-4540,-1.71,-,0122,2022
2021-12-31,7752,-5124,-2.04,-,0122,2021
2020-12-31,10851,-3795,-1.57,-,0122,2020
2019-12-31,4944,-4083,-1.68,-,0122,2019
2018-12-31,9551,-2264,-0.94,-,0122,2018
2022-12-31,243102,-36875,-2.95,-0.05,1481,2022
2021-12-31,116285,-11269,-1.21,-0.12,1481,2021
2020-12-31,117240,-34299,-3.69,-0.09,1481,2020
2019-12-31,275517,74944,8.06,0.03,1481,2019
2018-12-31,283583,-4895,-0.57,-0.44,1481,2018
2022-12-31,422349,-21698,-4.49,-,5281,2022
2021-12-31,270803,2050,0.5,-,5281,2021
2020-12-31,250335,2102,0.53,0.02,5281,2020
2019-12-31,301657,10826,2.69,-,5281,2019
2018-12-31,272860,10617,2.64,0.38,5281,2018
2022-12-31,29019,-1785,-5.9,-,9148,2022
2021-12-31,24161,-1076,-5.75,-,9148,2021
2020-12-31,23505,617,3.23,-,9148,2020
2019-12-31,22673,-143,-0.75,-2.67,9148,2019
2018-12-31,25418,1044,5.46,1.47,9148,2018
2022-12-31,58852,-4982,-3.26,-,7191,2022
2021-12-31,99057,12629,8.39,-,7191,2021
2020-12-31,87219,-11813,-7.69,-,7191,2020
2019-12-31,38899,22141,14.49,0.48,7191,2019
2018-12-31,17362,-27996,-18.32,-,7191,2018
2018-10-31,42668,2133,1.4,-,7191,2018
2023-03-31,109261,-21366,-0.99,-,7146,2023
2022-03-31,137116,-57417,-4.17,-,7146,2022
2021-03-31,35269,-7578,-1.73,-,7146,2021
2020-12-31,50766,-2745,-0.81,-,7146,2020
2019-12-31,63130,-851,-0.28,-,7146,2019
2018-12-31,61194,-2077,-0.69,-,7146,2018
2023-09-30,18994,-16359,-2.48,-,0181,2023
2022-09-30,73036,12516,1.97,-,0181,2022
2021-09-30,61093,10449,1.77,-,0181,2021
2020-09-30,19319,-3611,-0.67,-,0181,2020
2019-09-30,28834,-3217,-0.59,-,0181,2019
2018-09-30,36958,5297,1.09,0.18,0181,2018
2022-12-31,4141094,111232,7.92,0.51,6599,2022
2021-12-31,3630364,85287,6.08,0.49,6599,2021
2020-12-31,4051302,41423,2.95,0.51,6599,2020
2019-12-31,4538885,109294,7.78,0.51,6599,2019
2018-12-31,4353640,105123,7.49,0.53,6599,2018
2023-02-28,3280490,835370,319.26,0.31,5139,2023
2022-02-28,1524880,365419,139.17,0.35,5139,2022
2021-02-28,1557054,233957,87.67,0.33,5139,2021
2020-02-29,1598775,292046,107.47,0.34,5139,2020
2019-02-28,1365843,354624,135.85,0.33,5139,2019
2018-02-28,1235122,300057,146.39,0.28,5139,2018
2022-12-31,6594614,2600446,121.1,0.5,5185,2022
2021-12-31,2241156,526934,25.05,0.5,5185,2021
2020-12-31,2458328,230322,11.54,0.3,5185,2020
2019-12-31,1931750,487766,24.6,0.28,5185,2019
2018-12-31,1920602,503086,25.94,0.19,5185,2018
2022-12-31,259166,-158066,-49.01,-,7145,2022
2022-06-30,237089,34466,3.05,-,7145,2022
2021-06-30,166247,31951,3.16,-,7145,2021
2020-06-30,91444,38584,7.02,-,7145,2020
2019-06-30,120176,3011,0.85,-,7145,2019
2018-06-30,89887,3570,1.03,-,7145,2018
2023-03-31,26361,7095,2.17,-,0258,2023
2023-09-30,13927,-13643,-3.38,-,7315,2023
2022-09-30,10271,-8393,-2.53,-,7315,2022
2021-09-30,8006,-5130,-1.99,-,7315,2021
2020-09-30,10058,-6635,-3.26,-,7315,2020
2019-09-30,9365,-4858,-2.77,-,7315,2019
2019-03-31,13659,1329,0.78,-,7315,2019
2018-03-31,17627,1220,0.76,-,7315,2018
2023-06-30,388364,-83160,-13.91,-,7078,2023
2022-06-30,722489,-58146,-9.72,-,7078,2022
2021-06-30,846981,-68812,-11.51,-,7078,2021
2020-06-30,969705,-103685,-17.34,-,7078,2020
2019-12-31,496582,8385,1.4,-,7078,2019
2018-12-31,1228590,14665,2.82,0.71,7078,2018
2022-12-31,183474,28438,2.06,-,0209,2022
2021-12-31,75747,4729,0.39,-,0209,2021
2020-12-31,66966,7618,0.63,0.4,0209,2020
2019-12-31,77731,8405,0.83,0.18,0209,2019
2022-12-31,439399,178569,43.0,-,5238,2022
2022-06-30,438774,32804061,7943.1,-,5238,2022
2021-06-30,165402,-30470698,-734.6,-,5238,2021
2020-12-31,1075443,-1163396,-28.1,-,5238,2020
2019-12-31,4392607,-489480,-11.8,-,5238,2019
2018-12-31,4544450,-312697,-7.6,-,5238,2018
2023-03-31,603747,27492,45.22,0.19,2658,2023
2022-03-31,484678,16996,27.95,1.37,2658,2022
2021-03-31,443119,46387,76.3,0.65,2658,2021
2020-03-31,461689,59853,98.44,-,2658,2020
2019-03-31,447731,56581,93.07,0.5,2658,2019
2018-03-31,436286,56261,92.53,0.5,2658,2018
2023-11-30,139672,59021,20.6,-,7609,2023
2022-11-30,294049,29063,10.08,-,7609,2022
2021-11-30,268509,17199,5.87,-,7609,2021
2020-11-30,254896,1195,0.41,-,7609,2020
2019-11-30,325620,5579,1.87,0.17,7609,2019
2018-11-30,382350,24577,8.2,-,7609,2018
2022-12-31,110239,60139,8.17,0.99,5116,2022
2021-12-31,114072,73550,9.99,0.93,5116,2021
2020-12-31,105910,12570,1.71,3.15,5116,2020
2019-12-31,106110,76161,10.35,0.75,5116,2019
2018-12-31,102649,91375,12.54,0.76,5116,2018
2023-06-30,299130,16527,1.1,-,5115,2023
2022-06-30,134403,-16569,0.3,-,5115,2022
2021-12-31,145587,-156259,-6.2,-,5115,2021
2020-12-31,248421,-115525,-8.8,-,5115,2020
2019-12-31,301840,-71833,-7.3,-,5115,2019
2018-12-31,93241,-174843,-18.8,-,5115,2018
2022-12-31,975958,77717,57.86,0.04,2674,2022
2021-12-31,599011,32461,24.21,0.1,2674,2021
2020-12-31,316402,1316,0.98,-,2674,2020
2019-12-31,372653,-176,0.25,-,2674,2019
2018-12-31,385703,3437,2.56,-,2674,2018
2022-12-31,15780,-884,-0.08,-,0079,2022
2021-12-31,5579,-83028,-9.54,-,0079,2021
2021-06-30,231,-4214,-0.53,-,0079,2021
2020-06-30,8653,-3932,-0.55,-,0079,2020
2019-06-30,5686,1725,0.32,-,0079,2019
2018-06-30,6876,-2249,-0.38,-,0079,2018
2023-03-31,1919802,677846,43.78,0.5,2488,2023
2022-03-31,1867656,572817,37.01,0.5,2488,2022
2021-03-31,1817567,358785,23.13,0.25,2488,2021
2020-03-31,1694946,424263,27.5,0.22,2488,2020
2019-03-31,1622101,537597,34.7,0.48,2488,2019
2018-03-31,1572023,493228,32.1,0.21,2488,2018
2022-12-31,6772989,472831,169.4,0.5,1163,2022
2021-12-31,6431039,478497,198.24,0.32,1163,2021
2020-12-31,5945711,520325,227.52,0.25,1163,2020
2019-12-31,5534374,492478,203.94,0.32,1163,2019
2018-12-31,5181929,377021,168.39,0.24,1163,2018
2023-06-30,3252,-7832,-7.83,-,03051,2023
2022-06-30,6072,2657,2.65,0.23,03051,2022
2022-12-31,71800,65416,11.28,0.38,5269,2022
2021-12-31,71543,3204,0.54,3.19,5269,2021
2020-12-31,74793,-13530,-2.33,-0.97,5269,2020
2019-12-31,94912,36153,6.23,0.91,5269,2019
2018-12-31,82151,40302,6.94,0.89,5269,2018
2022-12-31,77854,12301,3.77,-,5127,2022
2021-12-31,86253,31419,5.31,-,5127,2021
2020-12-31,85959,-12328,4.5,0.98,5127,2020
2019-12-31,95878,35493,6.19,1,5127,2019
2018-12-31,97833,148394,25.89,0.24,5127,2018
2023-03-31,577116,103518,16.18,0.25,5293,2023
2022-03-31,398387,48560,8.14,0.31,5293,2022
2021-03-31,460606,54617,12.8,0.31,5293,2021
2020-03-31,380346,63747,17.02,0.18,5293,2020
2023-03-31,22873,52488,10.09,0.35,5307,2023
2023-03-31,103427,14198,2.06,1.31,5120,2023
2022-03-31,99646,5346,0.78,3.87,5120,2022
2021-03-31,107304,2725,0.38,7.42,5120,2021
2020-03-31,120682,23586,3.42,0.98,5120,2020
2019-03-31,116584,22293,3.25,1.23,5120,2019
2018-03-31,114098,11332,1.66,2.53,5120,2018
2023-03-31,67011,3042,1.13,-,03011,2023
2022-03-31,85437,12322,4.59,0.04,03011,2022
2021-03-31,59079,3380,1.26,-,03011,2021
2020-03-31,36012,-2298,-0.86,-,03011,2020
2019-03-31,39024,255,0.1,-,03011,2019
2023-03-31,9475428,3470306,104.84,0.35,1015,2023
2022-03-31,5523606,1502682,45.56,0.11,1015,2022
2021-03-31,8412644,-3826466,-127.2,-,1015,2021
2020-03-31,9324567,1340715,44.57,0.3,1015,2020
2019-03-31,9119857,1505289,50.04,0.4,1015,2019
2018-03-31,8576739,1132131,37.65,0.4,1015,2018
2023-11-30,34265,2409,2.52,-,7031,2023
2022-11-30,60501,2029,2.08,-,7031,2022
2021-11-30,54728,3550,3.64,-,7031,2021
2020-11-30,56013,4313,7.9,-,7031,2020
2019-11-30,63170,5003,9.23,-,7031,2019
2018-11-30,50926,1071,2.16,-,7031,2018
2022-12-31,1514774,76881,46.77,0.81,6351,2022
2021-12-31,1485912,36781,22.38,1.07,6351,2021
2020-12-31,1153478,46896,28.54,0.96,6351,2020
2019-12-31,966327,51158,31.13,0.88,6351,2019
2018-12-31,972272,54510,33.16,0.83,6351,2018
2023-04-30,136149,23246,21.34,0.09,7083,2023
2022-04-30,117587,29463,27.05,0.07,7083,2022
2021-04-30,117489,16370,15.03,0.13,7083,2021
2020-04-30,110857,7256,6.66,0.3,7083,2020
2019-04-30,129780,3901,5.73,0.35,7083,2019
2018-04-30,139879,9736,17.36,0.06,7083,2018
2023-05-31,30564,-385,0.1,-,0048,2023
2022-05-31,29949,-1717,-0.36,-,0048,2022
2021-05-31,30477,382,0.08,-,0048,2021
2020-05-31,30930,-360,-0.08,-,0048,2020
2019-05-31,29697,-344,-0.07,-,0048,2019
2018-05-31,28980,-792,-0.17,-,0048,2018
2023-05-31,2043253,75127,8.53,0.12,4758,2023
2022-05-31,2013103,68178,27.55,0.01,4758,2022
2021-05-31,1538476,23945,10.04,-,4758,2021
2020-05-31,1472285,-9696,-4.37,-,4758,2020
2019-05-31,1987717,15287,7.17,-,4758,2019
2018-05-31,1954809,17581,8.17,-,4758,2018
2023-08-31,137067,-13218,-2.24,-,0226,2023
2022-08-31,172084,-32444,-5.81,-,0226,2022
2021-08-31,125294,-21187,-4.08,-,0226,2021
2020-08-31,31120,1399,0.35,-,0226,2020
2022-12-31,3034972,-132631,-23.55,-0.11,6556,2022
2021-12-31,2395704,242929,44.91,0.32,6556,2021
2020-12-31,1891199,-99987,-18.53,-0.13,6556,2020
2019-12-31,2221435,-89859,-16.68,-0.15,6556,2019
2018-12-31,2322108,149544,28.3,0.51,6556,2018
2023-06-30,44798,-96236,-42.7,-,5082,2023
2022-12-31,325134,25485,29.12,-,5082,2022
2021-12-31,264483,57093,76.12,-,5082,2021
2020-12-31,53354,3954,5.4,-,5082,2020
2019-12-31,46282,-4677,-6.28,-,5082,2019
2018-12-31,93182,-4287,-5.8,-,5082,2018
2023-09-30,53531,3278,2.96,-,5568,2023
2022-09-30,78018,8598,7.76,2.58,5568,2022
2021-09-30,56871,-5318,-4.8,-,5568,2021
2020-09-30,89367,3816,3.45,-,5568,2020
2019-09-30,39891,-3513,-3.17,-,5568,2019
2018-09-30,70837,-12066,-10.89,-0.28,5568,2018
2022-12-31,35961,6126,3.03,-,5088,2022
2021-12-31,88419,21476,10.6,1.23,5088,2021
2020-12-31,57154,17213,8.5,-,5088,2020
2019-12-31,33998,6009,2.97,0.67,5088,2019
2018-12-31,40789,8195,4.04,-,5088,2018
2022-12-31,1755484,201950,42.58,0.4,7090,2022
2021-12-31,770756,59418,12.55,0.92,7090,2021
2020-12-31,698729,56021,11.86,0.38,7090,2020
2019-12-31,688786,52750,18.49,0.2,7090,2019
2018-12-31,652660,58581,49.98,0.27,7090,2018
2022-12-31,1739166,26400,13.5,1.04,5015,2022
2021-12-31,1224120,-11250,-5.76,-1.22,5015,2021
2020-12-31,1123558,-10469,-5.35,-1.31,5015,2020
2019-12-31,1496940,27237,13.93,0.72,5015,2019
2018-12-31,1334372,38441,19.65,0.61,5015,2018
2023-04-30,257106,31648,39.56,0.38,6432,2023
2022-04-30,188266,9971,12.25,1.22,6432,2022
2021-04-30,190387,17340,21.68,1.15,6432,2021
2020-04-30,174934,14244,17.8,1.12,6432,2020
2019-04-30,188836,17602,22.01,0.91,6432,2019
2018-04-30,190818,11071,13.83,1.45,6432,2018
2022-12-31,59923,606,0.05,-,0119,2022
2021-12-31,64515,-320,-0.0,-,0119,2021
2020-12-31,74337,679,0.19,-,0119,2020
2019-12-31,91418,-261,-0.07,-,0119,2019
2018-12-31,178545,442,0.13,-,0119,2018
2023-07-31,474138,9549,5.45,-,7214,2023
