dAnnceDate,dExDate,dPayDate,dAmount,stock_code
2023-04-13,2023-05-10,2023-05-25,0.054,5250
2022-04-20,2022-05-10,2022-05-27,0.026,5250
2021-04-15,2021-05-05,2021-05-21,0.016,5250
2020-04-22,2020-05-12,2020-05-28,0.023,5250
2019-04-29,2019-05-09,2019-05-23,0.024,5250
2022-12-01,2022-12-23,2023-01-12,0.0385,0800EA
2021-05-26,2021-06-24,2021-07-15,0.037,0800EA
2020-11-30,2020-12-28,2021-01-14,0.0241,0800EA
2019-12-03,2019-12-24,2020-01-16,0.0159,0800EA
2018-12-07,2018-12-27,2019-01-18,0.0465,0800EA
2023-03-15,2023-03-29,2023-04-10,0.01,7167
2022-11-29,2022-12-13,2022-12-30,0.01,7167
2022-08-30,2022-09-13,2022-09-28,0.015,7167
2022-06-01,2022-06-17,2022-06-30,0.005,7167
2022-03-02,2022-03-17,2022-03-30,0.015,7167
2021-12-02,2021-12-17,2021-12-31,0.01,7167
2021-08-26,2021-09-13,2021-09-30,0.015,7167
2021-06-03,2021-06-21,2021-07-16,0.01,7167
2021-03-24,2021-04-08,2021-04-30,0.01,7167
2020-11-25,2020-12-10,2021-01-04,0.02,7167
2020-08-27,2020-09-11,2020-09-28,0.017,7167
2020-06-19,2020-07-03,2020-07-29,0.007,7167
2020-02-27,2020-03-12,2020-03-31,0.014,7167
2019-12-02,2019-12-16,2019-12-30,0.02,7167
2019-09-04,2019-09-24,2019-10-14,0.015,7167
2019-06-03,2019-06-20,2019-07-03,0.015,7167
2019-02-28,2019-03-13,2019-03-29,0.02,7167
2018-12-03,2018-12-13,2018-12-26,0.015,7167
2018-08-30,2018-09-14,2018-09-28,0.005,7167
2018-05-28,2018-06-11,2018-06-26,0.01,7167
2021-04-20,2021-04-27,2021-05-27,0.0099,03028
2022-07-28,2022-08-15,2022-08-30,0.002,0218
2020-10-22,2020-11-13,2020-11-30,0.003,0218
2023-04-27,2023-07-27,2023-08-18,0.001,1481
2022-04-28,2022-07-27,2022-08-18,0.0015,1481
2021-04-28,2021-07-27,2021-08-18,0.0015,1481
2020-06-22,2020-07-27,2020-08-18,0.0035,1481
2019-04-29,2019-07-25,2019-08-15,0.0025,1481
2020-11-26,2020-12-15,2020-12-30,0.01,5281
2019-11-21,2019-12-05,2019-12-30,0.006,5281
2018-11-22,2018-12-06,2019-01-03,0.01,5281
2019-04-29,2019-06-27,2019-07-25,0.02,9148
2018-11-28,2018-12-27,2019-01-23,0.04,9148
2019-12-30,2020-01-14,2020-01-22,0.07,7191
2018-11-23,2018-12-04,2018-12-27,0.002,0181
2023-04-17,2023-05-30,2023-06-15,0.04,6599
2022-04-26,2022-05-30,2022-06-20,0.03,6599
2021-05-24,2021-07-14,2021-07-29,0.015,6599
2020-05-21,2020-07-15,2020-07-30,0.04,6599
2019-04-29,2019-06-13,2019-07-11,0.04,6599
2023-04-11,2023-07-04,2023-07-20,0.21,5139
2022-09-29,2022-10-14,2022-11-03,0.285,5139
2022-04-05,2022-07-06,2022-07-21,0.15,5139
2022-04-05,2022-07-06,2022-07-21,0.05,5139
2021-09-28,2021-10-13,2021-11-03,0.285,5139
2021-04-08,2021-06-30,2021-07-15,0.2,5139
2020-09-29,2020-10-14,2020-11-05,0.092,5139
2020-04-09,2020-07-01,2020-07-16,0.14,5139
2019-09-26,2019-10-17,2019-11-07,0.2225,5139
2019-04-29,2019-07-03,2019-07-18,0.2235,5139
2018-10-04,2018-10-16,2018-11-08,0.2225,5139
2018-04-27,2018-06-27,2018-07-19,0.2,5139
2017-10-05,2017-10-17,2017-11-07,0.2113,5139
2023-05-25,2023-06-09,2023-07-11,0.0777,5185
2022-11-15,2022-11-30,2022-12-29,0.1809,5185
2022-11-15,2022-11-30,2022-12-29,0.0453,5185
2022-05-25,2022-06-09,2022-07-07,0.125,5185
2021-03-09,2021-03-22,2021-04-19,0.035,5185
2020-07-28,2020-08-11,2020-09-09,0.07,5185
2018-12-10,2018-12-20,2019-01-22,0.05,5185
2018-08-30,2018-09-26,2018-10-26,0.01,7078
2020-11-24,2020-12-10,2020-12-31,0.0025,0209
2019-11-26,2019-12-10,2019-12-31,0.0015,0209
2023-06-27,2023-08-29,2023-09-25,0.091,2658
2022-08-03,2022-08-30,2022-09-28,0.085,2658
2021-08-17,2021-09-22,2021-10-22,0.3825,2658
2020-08-17,2020-10-01,2020-10-28,0.493,2658
2019-07-25,2019-08-30,2019-09-23,0.47,2658
2018-07-26,2018-08-29,2018-09-21,0.465,2658
2023-02-02,2023-02-16,2023-02-28,0.021,5116
2022-11-25,2022-12-15,2023-01-06,0.02,5116
2022-08-26,2022-09-19,2022-10-11,0.02,5116
2022-05-30,2022-06-16,2022-07-08,0.02,5116
2022-01-27,2022-02-11,2022-02-28,0.018,5116
2021-11-26,2021-12-23,2022-01-20,0.02,5116
2021-08-26,2021-09-24,2021-10-22,0.02,5116
2021-05-28,2021-06-25,2021-07-16,0.02,5116
2021-01-26,2021-02-11,2021-02-26,0.0345,5116
2020-10-23,2020-11-12,2020-12-04,0.013,5116
2020-08-28,2020-09-17,2020-10-12,0.0206,5116
2020-01-31,2020-02-14,2020-02-28,0.0202,5116
2019-11-21,2019-12-11,2020-01-10,0.0196,5116
2019-08-30,2019-09-23,2019-10-17,0.0186,5116
2019-05-29,2019-06-17,2019-07-12,0.0191,5116
2019-01-30,2019-02-14,2019-02-28,0.0207,5116
2018-11-30,2018-12-17,2019-01-14,0.0193,5116
2018-08-29,2018-09-18,2018-10-19,0.0195,5116
2018-05-24,2018-06-13,2018-07-09,0.0175,5116
2023-04-26,2023-07-11,2023-07-28,0.025,2674
2022-04-26,2022-07-12,2022-07-29,0.025,2674
2023-05-30,2023-06-15,2023-06-28,0.1,2488
2022-11-29,2022-12-14,2022-12-28,0.12,2488
2022-05-31,2022-06-16,2022-06-30,0.102,2488
2021-11-26,2021-12-14,2021-12-30,0.083,2488
2021-05-31,2021-06-16,2021-06-30,0.0579,2488
2019-11-27,2019-12-12,2019-12-30,0.06,2488
2019-05-29,2019-06-17,2019-06-27,0.082,2488
2018-11-29,2018-12-14,2018-12-28,0.085,2488
2018-05-31,2018-06-18,2018-06-28,0.068,2488
2017-11-30,2017-12-15,2017-12-28,0.085,2488
2023-01-06,2023-01-25,2023-02-17,0.69,1163
2022-06-28,2022-07-18,2022-08-05,0.16,1163
2022-01-12,2022-01-27,2022-02-18,0.63,1163
2021-01-08,2021-01-25,2021-02-18,0.58,1163
2020-01-10,2020-01-24,2020-02-14,0.51,1163
2020-01-10,2020-01-24,2020-02-14,0.14,1163
2019-01-03,2019-01-23,2019-02-15,0.4,1163
2022-02-23,2022-03-22,2022-04-07,0.0062,03051
2023-02-02,2023-02-16,2023-02-28,0.015,5269
2022-11-25,2022-12-15,2023-01-06,0.005,5269
2022-08-26,2022-09-19,2022-10-11,0.005,5269
2022-01-27,2022-02-11,2022-02-28,0.018,5269
2021-11-26,2021-12-23,2022-01-20,0.005,5269
2021-01-26,2021-02-11,2021-02-26,0.0122,5269
2020-03-11,2020-03-24,2020-04-15,0.0086,5269
2020-01-31,2020-02-14,2020-02-28,0.0141,5269
