stock_code,pe,pb
5250,38.19,17.293
0800EA,0,0
7167,12.02,1.037
7086,108.11,0.737
5198,-,0.423
03028,-,4.236
7131,62.50,0.844
0218,19.70,0.815
0122,-,2.017
1481,-,0.717
5281,-,0.913
9148,-,1.870
7191,-,1.055
7146,-,0.415
0181,-,1.169
6599,13.87,0.800
5139,8.47,1.153
5185,3.98,0.464
7145,-,0.039
0258,25.14,5.072
7315,-,3.146
7078,-,1.131
0209,29.85,2.621
5238,1.31,2.707
2658,23.30,1.786
7609,5.83,1.133
5116,17.52,1.089
5115,2.76,0.534
2674,2.28,0.461
0079,68.18,1.420
2488,8.47,0.773
1163,10.99,0.605
03051,-,16.995
5269,4.28,0.422
5127,34.19,0.331
5293,53.98,1.161
5307,10.56,1.159
5120,18.12,0.281
03011,37.89,2.586
1015,7.15,0.673
7031,24.53,0.918
6351,11.08,3.454
7083,7.03,0.542
0048,-,2.990
4758,14.13,2.159
0226,-,1.258
6556,-,0.568
5082,-,0.336
5568,31.27,1.690
5088,34.88,0.751
7090,4.30,3.215
5015,13.69,0.315
6432,11.31,1.647
0119,81.30,4.665
7214,6.17,0.563
7181,6.14,0.278
7007,-,1.951
0038,-,8.008
0068,-,0.993
7722,14.46,0.555
7129,9.72,0.510
0159,20.91,2.932
0105,-,0.575
4057,17.69,0.160
7162,8.65,0.539
7054,-,0.435
03032,-,2.114
6399,15.14,2.460
0072,-,0.264
8176,-,0.846
7048,31.84,1.748
5130,16.35,1.099
7099,5.98,0.358
5302,22.89,4.304
03037,-,2.403
8885,-,0.247
5204,-,1.090
7579,69.63,0.678
6888,2.44,0.959
5106,17.98,1.225
7120,-,1.026
2305,13.13,0.963
5021,6.43,0.396
7005,16.61,1.081
03012,27.41,1.795
0098,-,2.974
5258,9.02,0.717
7251,13.58,6.067
1899,12.14,1.062
6602,4.99,0.244
0187,-,0.246
5190,-,0.268
3239,-,0.371
3395,-,0.279
5196,11.65,2.705
4219,9.09,0.351
5248,7.87,3.669
9814,1.23,0.188
7668,18.80,0.989
0263,12.59,1.547
6173,-,0.185
5932,-,1.229
0195,36.57,1.258
6998,-,0.753
5032,21.21,1.337
0179,-,0.753
5069,56.82,1.401
0168,25.87,2.059
9288,6.47,0.835
7036,-,0.194
8133,-,2.171
2771,0,0
5254,38.52,1.123
6297,-,0.839
5100,12.44,1.469
9938,-,0.350
0011,9.16,0.821
4162,12.38,7.382
7221,-,0.579
7188,-,7.414
5210,4.74,0.627
1818,24.05,7.099
03042,-,1.595
2828,5.45,1.334
7174,4.34,0.898
0191,117.95,0.917
2852,4.66,0.353
7128,4.96,0.529
5105,21.74,0.291
5311,-,5.679
5099,10.76,0.000
5180,28.29,0.614
0163,-,0.619
5257,9.31,1.109
03016,7.26,1.729
2836,19.90,41.745
03048,-,6.118
0173,-,"1,517.252"
7076,-,0.711
03053,52.87,3.403
7035,7.01,1.438
03024,-,3.840
0238,18.42,1.438
0243,23.60,2.983
5195,31.37,1.385
8052,52.64,4.348
8982,28.63,0.550
7209,-,0.504
5273,84.34,12.841
7187,17.77,2.455
1929,11.08,0.866
5007,10.02,0.608
5188,-,0.387
5797,-,0.308
7016,-,0.245
1023,9.84,0.968
7245,-,1.851
5104,-,0.520
7117,12.90,0.568
7202,16.09,1.062
7154,-,0.762
03001,-,0.264
7018,-,0.592
7986,-,1.161
0246,14.49,2.197
5071,2.88,0.603
2127,-,0.242
7195,15.02,11.537
5037,-,0.488
8044,-,0.714
8435,50.41,1.180
0240,24.70,3.523
0261,25.37,2.097
5738,-,0.139
5049,22.68,0.281
6718,15.72,0.417
8591,-,0.245
5094,28.63,0.551
7165,-,0.216
5301,43.73,6.353
0051,-,3.797
9423,9.54,0.549
7157,-,0.813
5184,-,0.598
7204,185.15,5.326
4456,-,0.740
3484,0,0
0400GB,0,0
5276,8.82,0.902
8338,-,1.870
5216,15.40,3.824
5141,18.66,1.473
5132,8.99,1.028
7212,-,1.319
5165,-,0.516
0152,-,0.138
7277,24.10,2.026
6947,47.23,3.249
0029,-,0.537
0131,18.06,3.048
7528,12.70,0.466
5908,7.14,0.895
7114,-,0.279
5835,0,0
5265,-,1.217
7169,11.75,0.362
0205,51.12,1.762
7198,19.84,0.457
1619,15.21,0.336
0269,25.26,1.954
03055,265.25,5.511
7233,28.23,2.859
7148,15.82,1.674
3948,25.94,0.229
3026,-,1.941
03046,34.26,4.785
5259,2.96,3.465
0154,-,0.558
3417,15.47,0.484
0267,34.78,19.408
2143,3.68,0.662
8206,17.45,0.618
5283,-,0.314
0059,-,0.462
3557,29.96,0.806
0239,48.73,5.847
0227,25.19,5.061
5253,-,1.046
0255,-,1.980
5036,14.87,1.033
7471,3.00,0.302
0107,18.40,1.291
0064,145.67,1.089
8907,15.91,1.544
5208,25.18,0.878
8877,-,0.675
9016,13.97,0.238
5228,15.06,1.234
0090,8.71,2.598
9091,17.20,0.731
6076,-,0.256
03025,9.08,2.462
7149,-,0.720
5056,57.64,0.334
8613,-,0.960
7217,-,0.438
7773,9.78,0.664
03021,-,11.689
0100,5.14,0.784
5081,-,0.462
6815,4.99,0.257
