stock_code,rDY,rPR,rOM,rCF,rPE,rROE,rEPS,rClass,rDate
5250,2.71,103.85,4.819,353993000,38.19,51.103,6.0,D,2023-10-10
7167,4.65,40.39,8.492,-143040391,12.02,8.475,10.9,C,2023-10-10
7086,0.0,0.0,4.338,810389,108.11,0.674,0.0,D,2023-10-10
5198,0.0,0.0,1.95,-45692900,0.0,-3.447,-1.2,D,2023-10-10
03028,5.66,9900.0,-0.005,-5502239,0.0,-0.253,0.0,D,2023-10-10
7131,0.0,0.0,9.486,-14948930,62.5,1.337,0.1,D,2023-10-10
0218,0.89,14.18,2.849,-1925023,19.7,4.188,1.7,D,2023-10-10
0122,0.0,0.0,-261.053,-3856372,0.0,-53.551,-5.0,D,2023-10-10
1481,0.71,0.0,-3.102,-36418000,0.0,-6.51,-1.4,D,2023-10-10
5281,0.0,0.0,-0.699,97028,0.0,-9.912,-4.8,D,2023-10-10
9148,0.0,0.0,-6.138,-330599,0.0,-7.284,-2.2,D,2023-10-10
7191,0.0,0.0,-25.435,211408,0.0,-14.218,-3.4,D,2023-10-10
7146,0.0,0.0,-16.245,-22628669,0.0,-19.977,-1.0,D,2023-10-10
0181,0.0,0.0,-30.313,-42979184,0.0,-8.148,2.0,D,2023-10-10
6599,3.64,53.91,7.073,586354000,13.87,5.806,7.9,C,2023-10-10
5139,4.06,32.54,36.981,-115593000,8.47,13.608,159.6,C,2023-10-10
5185,5.77,1609.53,19.718,2256825000,3.98,0.773,54.4,D,2023-10-10
7145,0.0,0.0,-20.956,-77911107,0.0,-57.016,3.6,D,2023-10-10
0258,0.0,0.0,27.194,3536229,25.14,27.527,2.1,D,2023-10-10
7315,0.0,0.0,-205.483,-12924108,0.0,-51.623,-2.7,D,2023-10-10
7078,0.0,0.0,-13.971,-10189000,0.0,-47.66,-13.9,D,2023-10-10
0209,0.0,0.0,14.484,23797288,29.85,8.879,1.0,D,2023-10-10
5238,0.0,0.0,-2375.049,415306000,1.31,-122.726,-15.7,D,2023-10-10
2658,0.59,12.75,5.416,-63992261,23.3,7.831,45.2,D,2023-10-10
7609,0.0,0.0,17.275,3852359,5.83,17.184,10.2,D,2023-10-10
5116,6.08,112.03,87.135,88871011,17.52,5.473,8.2,D,2023-10-10
5115,0.0,0.0,4.319,-24749481,2.76,0.0,1.4,D,2023-10-10
