Ticker,dividendYield,payoutRatio,operatingMargins,CF,P/E,ROE,EPS
5250.KL,0.0271,1.0385,0.048189998,353993000.0,38.19,51.103,0.060
7167.KL,0.0465,0.4039,0.08492,-143040391.0,12.02,8.475,0.109
7086.KL,,0.0,0.04338,810389.0,108.11,0.674,0.000
5198.KL,,0.0,0.0195,-45692900.0,-,-3.447,-0.012
03028.KL,0.056599997,99.0,-5e-05,-5502239.0,-,-0.253,0.000
7131.KL,,0.0,0.09486,-14948930.0,62.50,1.337,0.001
0218.KL,0.0089,0.1418,0.02849,-1925023.0,19.70,4.188,0.017
0122.KL,,0.0,-2.6105301,-3856372.0,-,-53.551,-0.050
1481.KL,0.0070999996,,-0.03102,-36418000.0,-,-6.510,-0.014
5281.KL,,0.0,-0.00699,97028.0,-,-9.912,-0.048
9148.KL,,0.0,-0.06138,-330599.0,-,-7.284,-0.022
7191.KL,,0.0,-0.25435,211408.0,-,-14.218,-0.034
7146.KL,,0.0,-0.16245002,-22628669.0,-,-19.977,-0.010
0181.KL,,0.0,-0.30313,-42979184.0,-,-8.148,0.020
6599.KL,0.0364,0.5391,0.07073,586354000.0,13.87,5.806,0.079
5139.KL,0.040599998,0.3254,0.36981,-115593000.0,8.47,13.608,1.596
5185.KL,0.0577,16.0953,0.19718,2256825000.0,3.98,0.773,0.544
7145.KL,,0.0,-0.20955999,-77911107.0,-,-57.016,0.036
0258.KL,,0.0,0.27194,3536229.0,25.14,27.527,0.021
7315.KL,,0.0,-2.05483,-12924108.0,-,-51.623,-0.027
7078.KL,,0.0,-0.13971,-10189000.0,-,-47.660,-0.139
0209.KL,,0.0,0.14484,23797288.0,29.85,8.879,0.010
5238.KL,,0.0,-23.75049,415306000.0,1.31,-122.726,-0.157
2658.KL,0.0058999998,0.1275,0.05416,-63992261.0,23.30,7.831,0.452
7609.KL,,0.0,0.17275,3852359.0,5.83,17.184,0.102
5116.KL,0.0608,1.1202999,0.87135005,88871011.0,17.52,5.473,0.082
5115.KL,,0.0,0.04319,-24749481.0,2.76,"-1,009.765",0.014
2674.KL,0.0313,0.0722,0.093339995,164507000.0,2.28,21.276,0.577
0079.KL,,0.0,0.11795,-914274.0,68.18,2.155,0.000
2488.KL,0.0592,0.5528,0.50092,1401089000.0,8.47,9.422,0.438
1163.KL,0.0733,0.78839993,0.16384001,1057388000.0,10.99,11.725,1.366
03051.KL,,,-2.4063299,1579748.0,-,-34.611,-0.079
