Announced,Financial Year,Subject,EX Date,Payment Date,Amount,Indicator,Stock Code,Year,Status
13 Apr 2023,2022-12-31,Interim Dividend,10 May 2023,25 May 2023,0.054,Currency,5250,2022,Y
20 Apr 2022,2021-12-31,Interim Dividend,10 May 2022,27 May 2022,0.026,Currency,5250,2021,Y
15 Apr 2021,2020-12-31,Interim Dividend,05 May 2021,21 May 2021,0.016,Currency,5250,2020,Y
22 Apr 2020,2019-12-31,Interim Dividend,12 May 2020,28 May 2020,0.023,Currency,5250,2019,Y
29 Apr 2019,2018-12-31,Interim Dividend,09 May 2019,23 May 2019,0.024,Currency,5250,2018,Y
01 Dec 2022,2022-12-31,Income Distribution,23 Dec 2022,12 Jan 2023,0.0385,Currency,0800EA,2022,Y
26 May 2021,2020-12-31,Income Distribution,24 Jun 2021,15 Jul 2021,0.037,Currency,0800EA,2020,Y
30 Nov 2020,2020-12-31,Income Distribution,28 Dec 2020,14 Jan 2021,0.0241,Currency,0800EA,2020,Y
03 Dec 2019,2019-12-31,Income Distribution,24 Dec 2019,16 Jan 2020,0.0159,Currency,0800EA,2019,Y
07 Dec 2018,2018-12-31,Income Distribution,27 Dec 2018,18 Jan 2019,0.0465,Currency,0800EA,2018,Y
15 Mar 2023,2022-12-31,Fourth Interim Dividend,29 Mar 2023,10 Apr 2023,0.01,Currency,7167,2022,Y
29 Nov 2022,2022-12-31,Third Interim Dividend,13 Dec 2022,30 Dec 2022,0.01,Currency,7167,2022,Y
30 Aug 2022,2022-12-31,Second Interim Dividend,13 Sep 2022,28 Sep 2022,0.015,Currency,7167,2022,Y
01 Jun 2022,2022-12-31,First Interim Dividend,17 Jun 2022,30 Jun 2022,0.005,Currency,7167,2022,Y
02 Mar 2022,2021-12-31,Fourth Interim Dividend,17 Mar 2022,30 Mar 2022,0.015,Currency,7167,2021,Y
02 Dec 2021,2021-12-31,Third Interim Dividend,17 Dec 2021,31 Dec 2021,0.01,Currency,7167,2021,Y
26 Aug 2021,2021-12-31,Second Interim Dividend,13 Sep 2021,30 Sep 2021,0.015,Currency,7167,2021,Y
03 Jun 2021,2021-12-31,First Interim Dividend,21 Jun 2021,16 Jul 2021,0.01,Currency,7167,2021,Y
24 Mar 2021,2020-12-31,Fourth Interim Dividend,08 Apr 2021,30 Apr 2021,0.01,Currency,7167,2020,Y
25 Nov 2020,2020-12-31,Third Interim Dividend,10 Dec 2020,04 Jan 2021,0.02,Currency,7167,2020,Y
27 Aug 2020,2020-12-31,Second Interim Dividend,11 Sep 2020,28 Sep 2020,0.017,Currency,7167,2020,Y
19 Jun 2020,2020-12-31,First Interim Dividend,03 Jul 2020,29 Jul 2020,0.007,Currency,7167,2020,Y
27 Feb 2020,2019-12-31,Fourth Interim Dividend,12 Mar 2020,31 Mar 2020,0.014,Currency,7167,2019,Y
02 Dec 2019,2019-12-31,Interim Dividend,16 Dec 2019,30 Dec 2019,0.02,Currency,7167,2019,Y
04 Sep 2019,2019-12-31,Interim Dividend,24 Sep 2019,14 Oct 2019,0.015,Currency,7167,2019,Y
03 Jun 2019,2019-12-31,Interim Dividend,20 Jun 2019,03 Jul 2019,0.015,Currency,7167,2019,Y
28 Feb 2019,2018-12-31,Interim Dividend,13 Mar 2019,29 Mar 2019,0.02,Currency,7167,2018,Y
03 Dec 2018,2018-12-31,Interim Dividend,13 Dec 2018,26 Dec 2018,0.015,Currency,7167,2018,Y
30 Aug 2018,2018-12-31,Interim Dividend,14 Sep 2018,28 Sep 2018,0.005,Currency,7167,2018,Y
28 May 2018,2018-12-31,Interim Dividend,11 Jun 2018,26 Jun 2018,0.01,Currency,7167,2018,Y
20 Apr 2021,2021-12-31,Interim Dividend,27 Apr 2021,27 May 2021,0.0099,Currency,03028,2021,Y
28 Jul 2022,2023-02-28,Interim Dividend,15 Aug 2022,30 Aug 2022,0.002,Currency,0218,2023,Y
22 Oct 2020,2021-02-28,Interim Dividend,13 Nov 2020,30 Nov 2020,0.003,Currency,0218,2021,Y
27 Apr 2023,2022-12-31,First and Final Dividend,27 Jul 2023,18 Aug 2023,0.001,Currency,1481,2022,Y
28 Apr 2022,2021-12-31,First and Final Dividend,27 Jul 2022,18 Aug 2022,0.0015,Currency,1481,2021,Y
28 Apr 2021,2020-12-31,Final Dividend,27 Jul 2021,18 Aug 2021,0.0015,Currency,1481,2020,Y
22 Jun 2020,2019-12-31,Final Dividend,27 Jul 2020,18 Aug 2020,0.0035,Currency,1481,2019,Y
29 Apr 2019,2018-12-31,Final Dividend,25 Jul 2019,15 Aug 2019,0.0025,Currency,1481,2018,Y
26 Nov 2020,2020-12-31,First Interim Dividend,15 Dec 2020,30 Dec 2020,0.01,Currency,5281,2020,Y
21 Nov 2019,2019-12-31,First Interim Dividend,05 Dec 2019,30 Dec 2019,0.006,Currency,5281,2019,Y
22 Nov 2018,2018-12-31,First Interim Dividend,06 Dec 2018,03 Jan 2019,0.01,Currency,5281,2018,Y
29 Apr 2019,2018-12-31,Final Dividend,27 Jun 2019,25 Jul 2019,0.02,Currency,9148,2018,Y
28 Nov 2018,2018-12-31,Interim Dividend,27 Dec 2018,23 Jan 2019,0.04,Currency,9148,2018,Y
30 Dec 2019,2019-12-31,Special Dividend,14 Jan 2020,22 Jan 2020,0.07,Currency,7191,2019,Y
23 Nov 2018,2018-09-30,First Interim Dividend,04 Dec 2018,27 Dec 2018,0.002,Currency,0181,2018,Y
17 Apr 2023,2022-12-31,Final Dividend,30 May 2023,15 Jun 2023,0.04,Currency,6599,2022,Y
26 Apr 2022,2021-12-31,Final Dividend,30 May 2022,20 Jun 2022,0.03,Currency,6599,2021,Y
24 May 2021,2020-12-31,Final Dividend,14 Jul 2021,29 Jul 2021,0.015,Currency,6599,2020,Y
21 May 2020,2019-12-31,Final Dividend,15 Jul 2020,30 Jul 2020,0.04,Currency,6599,2019,Y
29 Apr 2019,2018-12-31,Final Dividend,13 Jun 2019,11 Jul 2019,0.04,Currency,6599,2018,Y
11 Apr 2023,2023-02-28,Final Dividend,04 Jul 2023,20 Jul 2023,0.21,Currency,5139,2023,Y
