stock_code,rDY,rPR,rOM,rCF,rPE,rROE,rEPS,rClass
5250,0.027,1.038,0.048,353993000,38.19,51.103,0.06,D
7167,0.046,0.404,0.085,-143040391,12.02,8.475,0.109,C
7086,0.0,0.0,0.043,810389,108.11,0.674,0.0,D
5198,0.0,0.0,0.02,-45692900,0.0,-3.447,-0.012,D
03028,0.057,99.0,-0.0,-5502239,0.0,-0.253,0.0,D
7131,0.0,0.0,0.095,-14948930,62.5,1.337,0.001,D
0218,0.009,0.142,0.028,-1925023,19.7,4.188,0.017,D
0122,0.0,0.0,-2.611,-3856372,0.0,-53.551,-0.05,D
1481,0.007,0.0,-0.031,-36418000,0.0,-6.51,-0.014,D
5281,0.0,0.0,-0.007,97028,0.0,-9.912,-0.048,D
9148,0.0,0.0,-0.061,-330599,0.0,-7.284,-0.022,D
7191,0.0,0.0,-0.254,211408,0.0,-14.218,-0.034,D
7146,0.0,0.0,-0.162,-22628669,0.0,-19.977,-0.01,D
0181,0.0,0.0,-0.303,-42979184,0.0,-8.148,0.02,D
6599,0.036,0.539,0.071,586354000,13.87,5.806,0.079,C
5139,0.041,0.325,0.37,-115593000,8.47,13.608,1.596,C
5185,0.058,16.095,0.197,2256825000,3.98,0.773,0.544,D
7145,0.0,0.0,-0.21,-77911107,0.0,-57.016,0.036,D
0258,0.0,0.0,0.272,3536229,25.14,27.527,0.021,D
7315,0.0,0.0,-2.055,-12924108,0.0,-51.623,-0.027,D
7078,0.0,0.0,-0.14,-10189000,0.0,-47.66,-0.139,D
0209,0.0,0.0,0.145,23797288,29.85,8.879,0.01,D
5238,0.0,0.0,-23.75,415306000,1.31,-122.726,-0.157,D
2658,0.006,0.128,0.054,-63992261,23.3,7.831,0.452,D
7609,0.0,0.0,0.173,3852359,5.83,17.184,0.102,D
5116,0.061,1.12,0.871,88871011,17.52,5.473,0.082,D
5115,0.0,0.0,0.043,-24749481,2.76,0.0,0.014,D
2674,0.031,0.072,0.093,164507000,2.28,21.276,0.577,D
0079,0.0,0.0,0.118,-914274,68.18,2.155,0.0,D
