stock_name,stock_code
7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250
ABF MALAYSIA BOND INDEX FUND,0800EA
ABLE GLOBAL BERHAD,7167
ABLEGROUP BERHAD,7086
ABM FUJIYA BERHAD,5198
ACE INNOVATE ASIA BERHAD,03028
ACME HOLDINGS BERHAD,7131
ACO GROUP BERHAD,0218
ADVANCE INFORMATION MARKETING BERHAD,0122
ADVANCE SYNERGY BERHAD,1481
ADVANCECON HOLDINGS BERHAD,5281
ADVANCED PACKAGING TECHNOLOGY (M) BHD,9148
ADVENTA BERHAD,7191
AE MULTI HOLDINGS BERHAD,7146
AEMULUS HOLDINGS BERHAD,0181
AEON CO. (M) BHD,6599
AEON CREDIT SERVICE (M) BERHAD,5139
AFFIN BANK BERHAD,5185
AGESON BERHAD,7145
AGMO HOLDINGS BERHAD,0258
AHB HOLDINGS BERHAD,7315
AHMAD ZAKI RESOURCES BERHAD,7078
AIMFLEX BERHAD,0209
AIRASIA X BERHAD,5238
AJINOMOTO (MALAYSIA) BERHAD,2658
AJIYA BERHAD,7609
AL-`AQAR HEALTHCARE REIT,5116
ALAM MARITIM RESOURCES BERHAD,5115
ALCOM GROUP BERHAD,2674
ALDRICH RESOURCES BERHAD,0079
ALLIANCE BANK MALAYSIA BERHAD,2488
ALLIANZ MALAYSIA BERHAD,1163
ALPHA OCEAN RESOURCES BERHAD,03051
AL-SALAM REAL ESTATE INVESTMENT TRUST,5269
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127
AME ELITE CONSORTIUM BERHAD,5293
AME REAL ESTATE INVESTMENT TRUST,5307
AMFIRST REAL ESTATE INVESTMENT TRUST,5120
AMLEX HOLDINGS BERHAD,03011
AMMB HOLDINGS BERHAD,1015
AMTEL HOLDINGS BERHAD,7031
AMWAY (MALAYSIA) HOLDINGS BERHAD,6351
ANALABS RESOURCES BERHAD,7083
ANCOM LOGISTICS BERHAD,0048
ANCOM NYLEX BERHAD,4758
ANEKA JARINGAN HOLDINGS BERHAD,0226
ANN JOO RESOURCES BERHAD,6556
ANNUM BERHAD,5082
APB RESOURCES BERHAD,5568
APEX EQUITY HOLDINGS BERHAD,5088
APEX HEALTHCARE BERHAD,7090
APM AUTOMOTIVE HOLDINGS BERHAD,5015
APOLLO FOOD HOLDINGS BERHAD,6432
APPASIA BERHAD,0119
A-RANK BERHAD,7214
ARB BERHAD,7181
ARK RESOURCES HOLDINGS BERHAD,7007
ARTRONIQ BERHAD,0038
ASDION BERHAD,0068
ASIA BRANDS BERHAD,7722
ASIA FILE CORPORATION BHD,7129
ASIA MEDIA GROUP BERHAD,0159
ASIA POLY HOLDINGS BERHAD,0105
ASIAN PAC HOLDINGS BERHAD,4057
ASTINO BERHAD,7162
ASTRAL ASIA BERHAD,7054
ASTRAMINA GROUP BERHAD,03032
ASTRO MALAYSIA HOLDINGS BERHAD,6399
AT SYSTEMATIZATION BERHAD,0072
ATA IMS BERHAD,8176
ATLAN HOLDINGS BHD,7048
ATRIUM REAL ESTATE INVESTMENT TRUST,5130
ATTA GLOBAL GROUP BERHAD,7099
AURELIUS TECHNOLOGIES BERHAD,5302
AURORA ITALIA INTERNATIONAL BERHAD,03037
AVILLION BERHAD,8885
AWANBIRU TECHNOLOGY BERHAD,5204
AWC BERHAD,7579
AXIATA GROUP BERHAD,6888
AXIS REAL ESTATE INVESTMENT TRUST,5106
AXTERIA GROUP BERHAD,7120
AYER HOLDINGS BERHAD,2305
AYS VENTURES BERHAD,5021
B.I.G. INDUSTRIES BERHAD,7005
BABA ECO GROUP BERHAD,03012
BAHVEST RESOURCES BERHAD,0098
BANK ISLAM MALAYSIA BERHAD,5258
BARAKAH OFFSHORE PETROLEUM BERHAD,7251
BATU KAWAN BERHAD,1899
BCB BERHAD,6602
BCM ALLIANCE BERHAD,0187
BENALEC HOLDINGS BERHAD,5190
BERJAYA ASSETS BERHAD,3239
BERJAYA CORPORATION BERHAD,3395
BERJAYA FOOD BERHAD,5196
BERJAYA LAND BERHAD,4219
BERMAZ AUTO BERHAD,5248
BERTAM ALLIANCE BERHAD,9814
BESHOM HOLDINGS BERHAD,7668
BETAMEK BERHAD,0263
BINA DARULAMAN BERHAD,6173
BINA PURI HOLDINGS BHD,5932
BINASAT COMMUNICATIONS BERHAD,0195
BINTAI KINDEN CORPORATION BERHAD,6998
BINTULU PORT HOLDINGS BERHAD,5032
BIOALPHA HOLDINGS BERHAD,0179
BLD PLANTATION BHD.,5069
BOILERMECH HOLDINGS BERHAD,0168
BONIA CORPORATION BERHAD,9288
BORNEO OIL BERHAD,7036
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,8133
BOUSTEAD HOLDINGS BERHAD,2771
BOUSTEAD PLANTATIONS BERHAD,5254
BOX-PAK (MALAYSIA) BERHAD,6297
BP PLASTICS HOLDING BHD,5100
BRIGHT PACKAGING INDUSTRY BERHAD,9938
BRITE-TECH BERHAD,0011
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,4162
BSL CORPORATION BERHAD,7221
BTM RESOURCES BERHAD,7188
BUMI ARMADA BERHAD,5210
BURSA MALAYSIA BERHAD,1818
BV LAND HOLDINGS BERHAD,03042
C.I. HOLDINGS BERHAD,2828
