stock_code,rEPS,rDPS,rROE,rOM,rPR,rFCF,rDate,rPE,rDY,rClass
5250,0.083,0.0,0.854,0.068,0.0,831.43,2022-09-30,18.706,0.0,D
5250,0.06,0.0,0.553,0.056,0.0,972.77,2022-12-31,32.386,0.0,D
5250,0.052,0.0,0.448,0.049,0.0,872.4,2023-03-31,39.208,0.0,D
5250,0.052,0.0,0.441,0.048,0.0,764.72,2023-06-30,38.571,0.0,D
7167,0.105,0.045,0.084,0.088,0.428,-9.04,2022-09-30,12.855,0.033,C
7167,0.109,0.04,0.085,0.087,0.369,-112.05,2022-12-31,12.439,0.03,C
7167,0.118,0.035,0.091,0.092,0.296,-63.64,2023-03-31,11.078,0.027,C
7167,0.111,0.02,0.085,0.091,0.18,-25.27,2023-06-30,11.394,0.016,D
7086,-0.002,0.0,-0.015,-0.159,-0.0,1.74,2022-09-30,-48.172,0.0,D
7086,0.0,0.0,0.002,0.016,0.0,2.41,2022-12-31,508.95,0.0,D
7086,0.001,0.0,0.003,0.029,0.0,2.2,2023-03-31,235.625,0.0,D
7086,0.001,0.0,0.007,0.052,0.0,2.26,2023-06-30,109.2,0.0,D
5198,0.017,0.0,0.019,0.08,0.0,-55.48,2022-09-30,23.429,0.0,D
5198,-0.012,0.0,-0.013,0.027,-0.0,-79.76,2022-12-31,-36.682,0.0,D
5198,-0.017,0.0,-0.019,0.034,-0.0,-101.28,2023-03-31,-24.118,0.0,D
5198,-0.031,0.0,-0.035,0.02,-0.0,-154.17,2023-06-30,-10.323,0.0,D
03028,0.014,0.0,0.162,0.002,0.0,-0.58,2021-12-31,25.002,0.0,D
03028,0.008,0.0,0.091,0.002,0.0,6.47,2022-06-30,44.685,0.0,D
03028,0.001,0.0,0.012,0.001,0.0,8.75,2022-12-31,362.105,0.0,D
03028,-0.001,0.0,-0.008,0.001,-0.0,24.17,2023-06-30,-525.053,0.0,D
7131,-0.006,0.0,-0.019,-0.308,-0.0,-21.65,2022-09-30,-35.155,0.0,D
7131,-0.004,0.0,-0.012,-0.159,-0.0,-29.0,2022-12-31,-52.675,0.0,D
7131,0.001,0.0,0.002,0.086,0.0,-35.3,2023-03-31,257.371,0.0,D
7131,0.004,0.0,0.013,0.12,0.0,-46.82,2023-06-30,63.61,0.0,D
0218,0.023,0.0,0.095,0.054,0.0,1.54,2022-08-31,8.937,0.0,D
0218,0.019,0.0,0.074,0.048,0.0,-1.18,2022-11-30,10.972,0.0,D
0218,0.017,0.0,0.065,0.045,0.0,-4.44,2023-02-28,13.616,0.0,D
0218,0.011,0.0,0.042,0.038,0.0,-3.68,2023-05-31,19.246,0.0,D
0122,-0.053,0.0,-0.41,-0.987,-0.0,-13.41,2022-09-30,-1.8,0.0,D
0122,-0.079,0.0,-0.668,-0.944,-0.0,-13.1,2022-12-31,-0.952,0.0,D
0122,-0.081,0.0,-0.759,-1.158,-0.0,-12.63,2023-03-31,-2.768,0.0,D
0122,-0.082,0.0,-0.861,-1.325,-0.0,-12.39,2023-06-30,-2.495,0.0,D
1481,-0.006,0.0,-0.015,0.068,-0.0,-154.39,2022-09-30,-8.856,0.0,D
1481,-0.024,0.0,-0.078,-0.143,-0.0,-147.54,2022-12-31,-7.218,0.0,D
1481,-0.018,0.0,-0.068,-0.111,-0.0,-131.34,2023-03-31,-7.687,0.0,D
1481,-0.014,0.0,-0.063,-0.094,-0.0,-88.93,2023-06-30,-10.03,0.0,D
5281,0.002,0.0,0.003,0.013,0.0,52.43,2022-09-30,161.123,0.0,D
5281,-0.048,0.0,-0.112,-0.015,-0.0,31.28,2022-12-31,-5.173,0.0,D
5281,-0.044,0.0,-0.104,-0.008,-0.0,13.41,2023-03-31,-5.376,0.0,D
5281,-0.042,0.0,-0.104,-0.0,-0.0,7.28,2023-06-30,-8.503,0.0,D
9148,-0.024,0.0,-0.064,-0.074,-0.0,-15.8,2022-09-30,-27.54,0.0,D
9148,-0.034,0.0,-0.092,-0.044,-0.0,-7.94,2022-12-31,-19.135,0.0,D
9148,-0.035,0.0,-0.095,-0.043,-0.0,-7.85,2023-03-31,-20.159,0.0,D
9148,-0.038,0.0,-0.105,-0.049,-0.0,-6.99,2023-06-30,-17.004,0.0,D
7191,0.019,0.0,0.042,-0.032,0.0,-27.01,2022-09-30,24.755,0.0,D
7191,-0.034,0.0,-0.077,-0.078,-0.0,-11.19,2022-12-31,-19.433,0.0,D
7191,-0.044,0.0,-0.102,-0.12,-0.0,-22.92,2023-03-31,-13.495,0.0,D
7191,-0.061,0.0,-0.146,-0.245,-0.0,-35.43,2023-06-30,-8.79,0.0,D
7146,-0.03,0.0,-0.63,-0.519,-0.0,-70.57,2022-09-30,-0.669,0.0,D
7146,-0.026,0.0,-0.624,-0.478,-0.0,-71.12,2022-12-31,-0.972,0.0,D
7146,-0.01,0.0,-0.247,-0.165,-0.0,-71.1,2023-03-31,-1.556,0.0,D
7146,-0.007,0.0,-0.198,-0.122,-0.0,-43.42,2023-06-30,-2.026,0.0,D
0181,0.019,0.0,0.068,0.198,0.0,-97.62,2022-09-30,20.138,0.0,D
0181,0.005,0.0,0.017,0.091,0.0,-102.18,2022-12-31,96.026,0.0,D
0181,-0.009,0.0,-0.033,-0.057,-0.0,-88.6,2023-03-31,-39.978,0.0,D
0181,-0.022,0.0,-0.081,-0.303,-0.0,-71.11,2023-06-30,-14.183,0.0,D
6599,0.112,0.03,0.089,0.093,0.268,1650.16,2022-09-30,12.23,0.022,C
6599,0.079,0.04,0.062,0.078,0.505,1604.76,2022-12-31,17.293,0.029,C
6599,0.086,0.04,0.067,0.076,0.463,1625.06,2023-03-31,15.043,0.031,C
6599,0.074,0.04,0.058,0.066,0.539,1263.46,2023-06-30,17.646,0.031,C
5139,1.432,0.485,0.159,0.55,0.339,2052.84,2022-08-31,9.848,0.034,C
5139,1.354,0.485,0.145,0.494,0.358,998.68,2022-11-30,9.497,0.038,C
5139,1.636,0.495,0.17,0.526,0.303,-65.84,2023-02-28,7.335,0.041,C
5139,1.386,0.495,0.141,0.462,0.357,-373.19,2023-05-31,8.222,0.043,C
5185,0.638,0.124,0.134,0.012,0.194,8503.03,2022-09-30,3.12,0.062,C
5185,0.54,0.31,0.113,0.012,0.575,7013.4,2022-12-31,3.761,0.153,C
5185,0.533,0.305,0.112,0.012,0.571,2700.04,2023-03-31,3.768,0.152,C
5185,0.51,0.3,0.106,0.011,0.588,2489.17,2023-06-30,3.689,0.159,C
7145,0.108,0.0,0.061,0.121,0.0,-54.09,2022-09-30,3.066,0.0,D
7145,-0.565,0.0,-0.423,-0.36,-0.0,-71.4,2022-12-31,-0.363,0.0,D
7145,-0.514,0.0,-0.563,-0.517,-0.0,-60.33,2023-03-31,-0.195,0.0,D
7145,-0.54,0.0,-0.745,-0.91,-0.0,-40.48,2023-06-30,-0.056,0.0,D
0258,0.023,0.0,0.194,0.272,0.0,10.65,2023-06-30,24.536,0.0,D
7315,-0.026,0.0,-0.296,-0.897,-0.0,-34.47,2022-09-30,-4.261,0.0,D
7315,-0.025,0.0,-0.306,-0.792,-0.0,-33.27,2022-12-31,-4.777,0.0,D
7315,-0.028,0.0,-0.376,-0.911,-0.0,-26.4,2023-03-31,-3.708,0.0,D
7315,-0.044,0.0,-0.629,-1.084,-0.0,-26.35,2023-06-30,-3.559,0.0,D
7078,-0.163,0.0,-0.402,-0.155,-0.0,47.47,2022-09-30,-1.072,0.0,D
7078,-0.215,0.0,-0.601,-0.275,-0.0,57.27,2022-12-31,-0.767,0.0,D
7078,-0.177,0.0,-0.564,-0.254,-0.0,217.2,2023-03-31,-0.707,0.0,D
7078,-0.139,0.0,-0.514,-0.124,-0.0,269.71,2023-06-30,-1.578,0.0,D
0209,0.01,0.0,0.143,0.174,0.0,44.87,2022-09-30,14.312,0.0,D
0209,0.009,0.0,0.12,0.185,0.0,74.52,2022-12-31,15.916,0.0,D
0209,0.008,0.0,0.093,0.161,0.0,64.52,2023-03-31,22.024,0.0,D
0209,0.007,0.0,0.087,0.16,0.0,51.66,2023-06-30,21.702,0.0,D
5238,79.502,0.0,-3.726,75.024,0.0,-120.8,2022-09-30,0.005,0.0,D
5238,80.624,0.0,-68.921,54.12,0.0,5.53,2022-12-31,0.007,0.0,D
5238,0.371,0.0,-0.347,-0.426,0.0,57.88,2023-03-31,3.393,0.0,D
5238,1.92,0.0,-3.608,0.171,0.0,197.94,2023-06-30,0.953,0.0,D
2658,-0.083,0.085,-0.01,-0.008,-1.02,-246.8,2022-09-30,-138.389,0.007,D
2658,-0.214,0.085,-0.026,-0.021,-0.397,-301.06,2022-12-31,-61.033,0.007,D
2658,0.452,0.091,0.054,0.032,0.201,-294.68,2023-03-31,35.343,0.006,D
2658,0.667,0.091,0.078,0.06,0.136,-239.84,2023-06-30,22.281,0.006,D
7609,0.081,0.0,0.062,0.105,0.0,-24.86,2022-08-31,13.415,0.0,D
7609,0.102,0.0,0.076,0.124,0.0,-35.01,2022-11-30,17.085,0.0,D
7609,0.245,0.0,0.174,0.253,0.0,25.29,2023-02-28,6.566,0.0,D
7609,0.254,0.0,0.172,0.265,0.0,91.13,2023-05-31,5.633,0.0,D
5116,0.106,0.078,0.082,0.707,0.738,173.95,2022-09-30,11.164,0.066,C
5116,0.081,0.081,0.063,0.545,0.999,174.24,2022-12-31,15.034,0.066,D
5116,0.078,0.081,0.061,0.515,1.034,181.25,2023-03-31,16.977,0.061,D
5116,0.072,0.08,0.056,0.48,1.113,175.41,2023-06-30,17.688,0.063,D
5115,-0.12,0.0,-20.236,-0.625,-0.0,-70.44,2022-09-30,-0.249,0.0,D
5115,-0.03,0.0,1.569,-0.083,-0.0,-54.14,2022-12-31,-0.836,0.0,D
5115,-0.031,0.0,0.693,-0.096,-0.0,-38.41,2023-03-31,-1.305,0.0,D
5115,0.011,0.0,-0.259,0.043,0.0,-14.39,2023-06-30,2.318,0.0,D
2674,0.521,0.0,0.377,0.099,0.0,35.19,2022-09-30,1.555,0.0,D
2674,0.577,0.0,0.38,0.106,0.0,242.5,2022-12-31,1.594,0.0,B
2674,0.468,0.0,0.287,0.093,0.0,274.67,2023-03-31,1.976,0.0,D
2674,0.347,0.0,0.203,0.077,0.0,257.11,2023-06-30,2.395,0.0,D
0079,-0.019,0.0,-0.881,-2.979,-0.0,-19.11,2022-09-30,-1.331,0.0,D
0079,-0.0,0.0,-0.018,0.014,-0.0,-17.11,2022-12-31,-76.819,0.0,D
0079,-0.0,0.0,-0.012,0.028,-0.0,-15.43,2023-03-31,-94.92,0.0,D
0079,0.0,0.0,0.022,0.118,0.0,-13.12,2023-06-30,52.936,0.0,D
2488,0.403,0.222,0.097,0.025,0.55,609.72,2022-09-30,8.749,0.063,C
2488,0.42,0.222,0.101,0.026,0.528,3847.58,2022-12-31,8.731,0.06,C
2488,0.438,0.22,0.104,0.026,0.502,6378.71,2023-03-31,7.765,0.065,C
2488,0.398,0.22,0.093,0.025,0.553,4474.17,2023-06-30,8.366,0.066,C
1163,2.593,1.346,0.11,0.102,0.519,1736.57,2022-09-30,5.129,0.101,C
1163,2.657,0.342,0.112,0.106,0.129,2308.79,2022-12-31,5.329,0.024,C
1163,3.058,0.342,0.124,0.138,0.112,2206.53,2023-03-31,4.493,0.025,C
1163,3.452,0.342,0.133,0.161,0.099,1800.71,2023-06-30,4.143,0.024,D
03051,-0.072,0.0,-0.306,-0.962,-0.0,-13.08,2023-06-30,-43.217,0.0,D
5269,0.007,0.034,0.007,0.057,4.888,95.15,2022-09-30,61.471,0.08,D
5269,0.113,0.053,0.109,0.919,0.47,109.42,2022-12-31,3.28,0.143,C
5269,0.111,0.052,0.105,0.88,0.469,111.23,2023-03-31,4.371,0.107,C
5269,0.109,0.051,0.101,0.848,0.469,111.95,2023-06-30,4.138,0.113,C
5127,0.035,0.039,0.027,0.256,1.102,133.61,2022-09-30,16.985,0.065,D
