stock_name,stock_code,address1,address2,city,zip,phone,website,industry,sector,fullTimeEmployees
7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Level 3A,"Podium Block Plaza Berjaya No. 12, Jalan Imbi",Kuala Lumpur,55100,60321421136,https://www.7eleven.com.my,Grocery Stores,Consumer Defensive,10511.0
ABF MALAYSIA BOND INDEX FUND,0800EA,,,,,,,,,
ABLE GLOBAL BERHAD,7167,PTD 124298,Jalan Kempas Lama Kampung Seelong Jaya,Sekudai,81300,6075998990,https://www.ableglobalbhd.com.my,Packaged Foods,Consumer Defensive,199.0
ABLEGROUP BERHAD,7086,Block D4-U2-10,"Level 2 Solaris Dutamas No. 1, Jalan Dutamas 1",Kuala Lumpur,50480,60362078186,https://www.ablegroup.com.my,Building Products & Equipment,Industrials,
ABM FUJIYA BERHAD,5198,"Lot 2224, Section 66",Lorong Pangkalan Off Jalan Pangkalan Pending Industrial Estate,Kuching,93450,6082333344,https://www.abmfujiya.com.my,Auto Parts,Consumer Cyclical,
ACE INNOVATE ASIA BERHAD,03028,No. 19-1,Jalan USJ 10/1D Taipan Business Centre,Subang Jaya,47620,60380817198,https://goinno2u.com,Capital Markets,Financial Services,
ACME HOLDINGS BERHAD,7131,488A-16-01 Office Tower,Kompleks Midlands Park Jalan Burma,Georgetown,10350,6042109911,https://acmeholdings.com.my,Packaging & Containers,Consumer Cyclical,
ACO GROUP BERHAD,0218,"PLO 264, No. 14",Jalan Firma 3 Kawasan Perindustrian Tebrau 4,Johor Bahru,81100,6073619399,https://www.acogroup.com.my,Electronics & Computer Distribution,Technology,150.0
ADVANCE INFORMATION MARKETING BERHAD,0122,"No. 18, Jalan Balam",,Kuala Lumpur,51100,60340432699,https://www.aim-net.com.my,Specialty Business Services,Industrials,
ADVANCE SYNERGY BERHAD,1481,Synergy 9,Ground Floor 9 Jalan Kajibumi U1/70 Temasya Glenmarie,Shah Alam,40150,60351928822,https://www.asb.com.my,Travel Services,Consumer Cyclical,607.0
ADVANCECON HOLDINGS BERHAD,5281,"No. 16, 18 & 20, Jalan Pekaka 8/3",Seksyen 8 Kota Damansara,Petaling Jaya,47810,60361579563,https://www.advancecon.com.my,Engineering & Construction,Industrials,1353.0
ADVANCED PACKAGING TECHNOLOGY (M) BHD,9148,"Lot 2, Jalan P/2A",Kawasan MIEL Bangi Industrial Estate,Bandar Baru Bangi,43650,60389257101,https://www.advancedpack.com.my,Packaging & Containers,Consumer Cyclical,
ADVENTA BERHAD,7191,"No. 21, Jalan Tandang 51/205A",Seksyen 51,Petaling Jaya,46050,60392130520,https://www.adventa.com.my,Medical Instruments & Supplies,Healthcare,
AE MULTI HOLDINGS BERHAD,7146,Jalan PKNK 1/4,Plot 19-7 Kawasan Perindustrian Sungai Petani Taman Ria Jaya,Sungai Petani,08000,6044446538,https://www.amallionpcb.com/en/About-AE-Multi-Holdings-Berhad.php,Electronic Components,Technology,
AEMULUS HOLDINGS BERHAD,0181,"No.25, Jalan Sultan Azlan Shah",Zon Perindustrian Bayan Lepas Phase 1,Bayan Lepas,11900,6046846000,https://www.aemulus.com,Semiconductor Equipment & Materials,Technology,
AEON CO. (M) BHD,6599,AEON Taman Maluri Shopping Centre,"3rd Floor Jalan Jejaka, Taman Maluri Cheras",Kuala Lumpur,55100,60392072005,https://www.aeonretail.com.my,Department Stores,Consumer Cyclical,11917.0
AEON CREDIT SERVICE (M) BERHAD,5139,UOA Corporate Tower Avenue 10,"Level 18 The Vertical, Bangsar South City No. 8, Jalan Kerinchi",Kuala Lumpur,59200,60327729000,https://www.aeoncredit.com.my,Credit Services,Financial Services,3078.0
AFFIN BANK BERHAD,5185,Menara AFFIN,Level 19 Lingkaran TRX Tun Razak Exchange,Kuala Lumpur,55188,60323021000,https://www.affinbank.com.my,Banks - Regional,Financial Services,5237.0
AGESON BERHAD,7145,"Dataran PHB, Saujana Resort",Level 5 Block B Section U2,Shah Alam,4015,60378900638,https://agesonberhad.com,Engineering & Construction,Industrials,
AGMO HOLDINGS BERHAD,0258,MYEG Tower,"Level 38 Empire City Damansara, Jalan PJU 8",Petaling Jaya,47820,60376648515,https://www.agmo.group,Software - Application,Technology,
AHB HOLDINGS BERHAD,7315,UBN Tower 10,"Office 22F, 22nd Floor Jalan P. Ramlee",Kuala Lumpur,50250,60320222228,https://www.ahb.com.my,Business Equipment & Supplies,Industrials,
AHMAD ZAKI RESOURCES BERHAD,7078,Menara AZRB,"No. 71, Persiaran Gurney",Kuala Lumpur,54000,60326987171,https://www.azrb.com,Engineering & Construction,Industrials,
AIMFLEX BERHAD,0209,"12-2, Jalan Persiaran Teknologi",Taman Teknologi Johor,Senai,81400,6075955545,https://www.aimflex.com.my,Specialty Industrial Machinery,Industrials,279.0
AIRASIA X BERHAD,5238,"Tower A, Vertical Business Suite Avenue 3","Unit 30-01, Level 30 Bangsar South No.8, Jalan Kerinchi",Kuala Lumpur,59200,60327839191,https://www.airasiax.com,Airlines,Industrials,
AJINOMOTO (MALAYSIA) BERHAD,2658,Lot L1-E-5A and L1-E-5B,"Enterprise 4, Technology Park Malaysia Lebuhraya Puchong - Sg. Besi, Bukit Jali",Kuala Lumpur,57000,60379806958,https://www.ajinomoto.com.my,Packaged Foods,Consumer Defensive,704.0
AJIYA BERHAD,7609,"Lot 153, Kawasan Perindustrian",Batu 3 Jalan Genuang,Segamat,85000,6079434211,https://www.ajiya.com,Building Products & Equipment,Industrials,
AL-`AQAR HEALTHCARE REIT,5116,"Unit 1-19-02, Level 19, Block 1","V SQUARE, Jalan Utara Bandar Petaling Jaya",Petaling Jaya,46200,60379321692,https://www.alaqar.com.my,REIT - Healthcare Facilities,Real Estate,
ALAM MARITIM RESOURCES BERHAD,5115,Jalan Radin Anum,"No. 38F, Level 3 Bandar Baru Sri Petaling",Kuala Lumpur,57000,60390582244,https://www.alam-maritim.com.my,Oil & Gas Equipment & Services,Energy,
ALCOM GROUP BERHAD,2674,"No. 3, Persiaran Waja",Bukit Raja Industrial Estate PO Box 233,Klang,41050,60333466262,https://www.alcom.com.my,Aluminum,Basic Materials,
ALDRICH RESOURCES BERHAD,0079,"B-21-1, Tower B","Level 21 Northpoint Mid Valley City No 1, Medan Syed Putra Utara",Kuala Lumpur,59200,60397702200,https://aldrich.my,Information Technology Services,Technology,
ALLIANCE BANK MALAYSIA BERHAD,2488,Menara Multi-Purpose,"3rd Floor Capital Square No. 8, Jalan Munshi Abdullah",Kuala Lumpur,50100,60326043333,https://www.alliancebank.com.my,Banks - Regional,Financial Services,
ALLIANZ MALAYSIA BERHAD,1163,Menara Allianz Sentral,"Level 29 203, Jalan Tun Sambanthan Kuala Lumpur Sentral",Kuala Lumpur,50470,60322641188,https://www.allianz.com.my,Insurance - Diversified,Financial Services,
ALPHA OCEAN RESOURCES BERHAD,03051,"SO 33A-1 & 33A-8, Menara 1","Strata Offices, KL Eco City No.3, Jalan Bangsar",Kuala Lumpur,59200,,https://www.aorb.com.my,Farm Products,Consumer Defensive,
AL-SALAM REAL ESTATE INVESTMENT TRUST,5269,"Unit 1-19-02, Level 19, Block 1","V SQUARE, Jalan Utara, Bander",Petaling Jaya,46200,60379321692,https://www.alsalamreit.com.my,REIT - Diversified,Real Estate,
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127,Level 2,"Wisma AmanahRaya No. 2, Jalan Ampang",Kuala Lumpur,50508,60320780898,https://www.amanahrayareit.com.my,REIT - Diversified,Real Estate,
AME ELITE CONSORTIUM BERHAD,5293,"No. 2, Jalan I-Park SAC 1/1",Taman Perindustrian I-Park SAC,Senai,81400,6075959666,https://www.ame-elite.com,Engineering & Construction,Industrials,313.0
AME REAL ESTATE INVESTMENT TRUST,5307,"Suite 9D, Level 9, Menara Ansar",65 Jalan Trus,Johor Bahru,80000,6075959999,https://www.amereit.com.my,REIT - Industrial,Real Estate,
AMFIRST REAL ESTATE INVESTMENT TRUST,5120,Menara AmFIRST,"Penthouse No. 1, Jalan 19/3",Petaling Jaya,46300,60379558780,https://www.amfirstreit.com.my,REIT - Diversified,Real Estate,17.0
AMLEX HOLDINGS BERHAD,03011,"799, Lorong Perindustrian Bukit Minyak 7",Taman Perindustrian Bukit Minyak,Simpang Ampat,14100,6045013986,https://www.amlextech.com,Electronic Components,Technology,
AMMB HOLDINGS BERHAD,1015,Bangunan AmBank Group,"22nd Floor No. 55, Jalan Raja Chulan",Kuala Lumpur,50200,60320362633,https://www.ambankgroup.com,Banks - Regional,Financial Services,8000.0
AMTEL HOLDINGS BERHAD,7031,Wisma Amtel,"Level 3, No. 12, Jalan Pensyarah U1/28 Hicom Glenmarie Industrial Park",Shah Alam,40150,60355673500,https://www.amtel.com.my,Scientific & Technical Instruments,Technology,
AMWAY (MALAYSIA) HOLDINGS BERHAD,6351,"28, Jalan 223",,Petaling Jaya,46100,60379462800,https://www.amway.my,Specialty Retail,Consumer Cyclical,250.0
ANALABS RESOURCES BERHAD,7083,Lot 750,Jalan Haji Sirat,Klang,42100,,https://www.analabs.com.my,Specialty Chemicals,Basic Materials,
ANCOM LOGISTICS BERHAD,0048,"No. 2A, Jalan 13/2",Seksyen 13,Petaling Jaya,46200,60374955000,https://www.ancomlogistics.com.my,Integrated Freight & Logistics,Industrials,
ANCOM NYLEX BERHAD,4758,"No. 2A, Jalan 13/2",Seksyen 13,Petaling Jaya,46200,60374955000,https://www.ancomnylex.com,Specialty Chemicals,Basic Materials,949.0
ANEKA JARINGAN HOLDINGS BERHAD,0226,"K-2-1, Pusat Perdagangan",Bandar Bukit Jalil Persiaran Jalil 2,Kuala Lumpur,57000,60386575150,https://www.anekajaringan.com,Engineering & Construction,Industrials,366.0
ANN JOO RESOURCES BERHAD,6556,Wisma Ann Joo,Lot 19391 Batu 8 ½ Jalan Klang Lama,Petaling Jaya,46000,60378770028,https://www.annjoo.com.my,Steel,Basic Materials,2030.0
ANNUM BERHAD,5082,"8.7 KM, Jalan Batu Sapi",Locked Bag No. 13,Sandakan,90009,,https://www.annumberhad.com,Lumber & Wood Production,Basic Materials,
APB RESOURCES BERHAD,5568,"No. 47 (Lot 540), Jalan TUDM",Kampung Baru Subang Seksyen U6,Shah Alam,40150,60378461389,https://www.apb-resources.com,Metal Fabrication,Industrials,
APEX EQUITY HOLDINGS BERHAD,5088,Menara UAC,"Level 5 12, Jalan PJU 7/5 Mutiara Damansara",Petaling Jaya,47800,60378908888,https://www.apexequity.com.my,Capital Markets,Financial Services,
APEX HEALTHCARE BERHAD,7090,"1-5, Jalan TTC 1",Cheng Industrial Estate,Melaka,75250,6063370980,https://www.apexhealthcare.com.my,Medical Distribution,Healthcare,1887.0
APM AUTOMOTIVE HOLDINGS BERHAD,5015,Lot 600,Pandamaran Industrial Estate Locked Bag No. 218,Port Klang,42009,60331618888,https://www.apm.com.my,Auto Parts,Consumer Cyclical,
APOLLO FOOD HOLDINGS BERHAD,6432,"No. 70, Jalan Langkasuka",Larkin Industrial Area,Johor Bahru,80350,6072365096,https://www.apollofood.com.my,Confectioners,Consumer Defensive,771.0
APPASIA BERHAD,0119,"1-40-1, Menara Bangkok Bank",Berjaya Central Park No. 105 Jalan Ampang,Kuala Lumpur,50450,60321813666,https://www.appasia.com,Software - Application,Technology,
A-RANK BERHAD,7214,Jalan Perindustrian Mahkota 7,Lot 2-33 Taman Perindustrian Mahkota,Beranang,43700,60387244662,https://www.arank.com.my,Aluminum,Basic Materials,
ARB BERHAD,7181,Menara Exchange 106,"No. 22.08, Level 22 Lingkaran TRX Tun Razak Exchange",Kuala Lumpur,55188,60322761143,https://www.arbberhad.com,Conglomerates,Industrials,
ARK RESOURCES HOLDINGS BERHAD,7007,1-01-9 (1-SKY),Tingkat Mahsuri 2,Bayan Lepas,11950,6046118808,https://www.ark-resources.com.my,Engineering & Construction,Industrials,8.0
ARTRONIQ BERHAD,0038,No 12 Jalan Pelukis U1/46B,Temasya Industrial Park,Shah Alam,40150,60355697728,https://www.artroniq.com,Electronics & Computer Distribution,Technology,
ASDION BERHAD,0068,"SO-13A-3A, KL Eco City",Menara 1 No. 3 Jalan Bangsar,Kuala Lumpur,59200,60322423885,https://www.asdiongroup.com,Conglomerates,Industrials,
ASIA BRANDS BERHAD,7722,"Lot 10449, Jalan Nenas",Batu 4½ Kampung Jawa,Klang,41000,60351618822,https://www.asiabrands.com.my,Apparel Retail,Consumer Cyclical,
ASIA FILE CORPORATION BHD,7129,Plot 16,Kawasan Perindustrian Bayan Lepas Phase IV Mukim 12,Bayan Lepas,11900,6046426601,https://www.asia-file.com,Business Equipment & Supplies,Industrials,
ASIA MEDIA GROUP BERHAD,0159,Menara Choy Fook On,"Unit 15-2, Level 15 1B, Jalan Yong Shook Lin Seksyen 7",Petaling Jaya,46050,60376635088,https://www.asiamedia.my,Advertising Agencies,Communication Services,
ASIA POLY HOLDINGS BERHAD,0105,Oasis Square,"E-G-3A, Block E No. 2, Jalan PJU 1A/7A Ara Damansara",Petaling Jaya,47301,60378319178,https://www.asiapoly.com.my,Specialty Chemicals,Basic Materials,189.0
ASIAN PAC HOLDINGS BERHAD,4057,Menara SMI,"12th Floor No.6, Lorong P. Ramlee",Kuala Lumpur,50250,60327863388,https://www.asianpac.com.my,Real Estate - Diversified,Real Estate,456.0
ASTINO BERHAD,7162,1499 & 1500 (Lot Baru 10030),Mukim 11 Jalan Changkat,Nibong Tebal,14300,6045856666,https://www.astino.com.my,Building Materials,Basic Materials,
ASTRAL ASIA BERHAD,7054,Menara TSR,"Level 12 No. 12, Jalan PJU 7/3 Mutiara Damansara",Petaling Jaya,47810,60377175588,https://www.astralasia.com,Farm Products,Consumer Defensive,189.0
ASTRAMINA GROUP BERHAD,03032,"No. 102, Jalan Metro Perdana Barat 13",Sri Edaran Industrial Park Off Jalan Kepong,Kuala Lumpur,52100,60362587181,https://astraminagroup.com,Packaged Foods,Consumer Defensive,
ASTRO MALAYSIA HOLDINGS BERHAD,6399,All Asia Broadcast Centre,Technology Park Malaysia Lebuhraya Puchong-Sungai Besi Bukit Jalil,Kuala Lumpur,57000,60395436688,https://www.astro.com.my,Entertainment,Communication Services,
AT SYSTEMATIZATION BERHAD,0072,Menara Lien Hoe,"Lot 11.2, Level 11 No. 8, Persiaran Tropicana Tropicana Golf & Country Resort",Petaling Jaya,47410,60378878330,https://www.atsys.com.my,Specialty Industrial Machinery,Industrials,
ATA IMS BERHAD,8176,"No.6, Jalan Dewani 1",Kawasan Perindustrian Dewani,Johor Bahru,81100,6073340911,https://www.ataims.com.my,Electronic Components,Technology,3967.0
ATLAN HOLDINGS BHD,7048,Menara Atlan,"17th Floor 161B, Jalan Ampang",Kuala Lumpur,50450,60321792000,https://www.atlan.com.my,Discount Stores,Consumer Defensive,1095.0
ATRIUM REAL ESTATE INVESTMENT TRUST,5130,"36-2, Jalan 5/101C",Off Jalan Kaskas Jalan Cheras,Kuala Lumpur,56100,60391322810,https://www.atriumreit.com.my,REIT - Industrial,Real Estate,
ATTA GLOBAL GROUP BERHAD,7099,"No. 17, Jalan Perusahaan Sungai Lokan 3",Taman Industri Sungai Lokan,Butterworth,13800,6046857324,https://www.attaglobalgroup.com,Metal Fabrication,Industrials,
AURELIUS TECHNOLOGIES BERHAD,5302,"Plot 21, Jalan Hi-Tech 4",Kulim Hi-Tech Park Phase 1,Kulim,09090,6044033180,https://www.atechgroup.com.my,Semiconductor Equipment & Materials,Technology,1286.0
AURORA ITALIA INTERNATIONAL BERHAD,03037,Menara Public Gold @ TRX,Level 5 249 Jalan Tun Razak Imbi,Kuala Lumpur,50400,60321106916,https://www.auroraitalia.net,Luxury Goods,Consumer Cyclical,
