Ticker,dividendYield,payoutRatio,operatingMargins,CF,P/E,ROE,EPS
5250.KL,0.0271,1.0385,0.048189998,353993000,38.19,51.103,0.06
7167.KL,0.0462,0.4039,0.08492,-143040391,12.02,8.475,0.109
7086.KL,,0,0.04338,810389,108.11,0.674,0
5198.KL,,0,0.0195,-45692900,-,-3.447,-0.012
03028.KL,0.056599997,99,-5.00E-05,-5502239,-,-0.253,0
7131.KL,,0,0.09486,-14948930,62.5,1.337,0.001
0218.KL,0.0089,0.1418,0.02849,-1925023,19.7,4.188,0.017
0122.KL,,0,-2.6105301,-3856372,-,-53.551,-0.05
1481.KL,0.0071,,-0.03102,-36418000,-,-6.51,-0.014
5281.KL,,0,-0.00699,97028,-,-9.912,-0.048
9148.KL,,0,-0.06138,-330599,-,-7.284,-0.022
7191.KL,,0,-0.25435,211408,-,-14.218,-0.034
7146.KL,,0,-0.16245002,-22628669,-,-19.977,-0.01
0181.KL,,0,-0.30313,-42979184,-,-8.148,0.02
6599.KL,0.0357,0.5391,0.07073,586354000,13.87,5.806,0.079
5139.KL,0.0419,0.3254,0.36981,-115593000,8.47,13.608,1.596
5185.KL,0.058000002,16.0953,0.19718,2256825000,3.98,0.773,0.544
7145.KL,,0,-0.20955999,-77911107,-,-57.016,0.036
0258.KL,,0,0.27194,3536229,25.14,27.527,0.021
7315.KL,,0,-2.05483,-12924108,-,-51.623,-0.027
7078.KL,,0,-0.13971,-10189000,-,-47.66,-0.139
0209.KL,,0,0.14484,23797288,29.85,8.879,0.01
5238.KL,,0,-23.75049,415306000,1.31,-122.726,-0.157
2658.KL,0.0059,0.1275,0.05416,-63992261,23.3,7.831,0.452
7609.KL,,0,0.17275,3852359,5.83,17.184,0.102
5116.KL,0.0608,1.1202999,0.87135005,88871011,17.52,5.473,0.082
5115.KL,,0,0.04319,-24749481,2.76,"-1,009.77",0.014
2674.KL,0.031600002,0.0722,0.093339995,164507000,2.28,21.276,0.577
0079.KL,,0,0.11795,-914274,68.18,2.155,0
2488.KL,0.0588,0.5528,0.50092,1401089000,8.47,9.422,0.438
1163.KL,0.0725,0.78839993,0.16384001,1057388000,10.99,11.725,1.366
03051.KL,,,-2.4063299,1579748,-,-34.611,-0.079
5269.KL,0.070199996,0.26680002,0.65529996,50827196,4.28,10.282,0.113
5127.KL,0.0392,2.7393,0.56323004,47834981,34.19,0.967,0.021
5293.KL,0.020299999,0.1618,0.13588001,-10760365,53.98,15.358,0
5307.KL,0.056700002,0.5187,0.83195996,31732382,10.56,-,0.101
5120.KL,0.08180001,1.1688,0.50039,53165736,18.12,1.563,0.021
03011.KL,0.0186,0.354,0.059959996,-4111020,37.89,6.979,0.011
1015.KL,0.0626,0.3547,0.53021,5844100000,7.15,9.798,0.524
7031.KL,,0,0.06786,-4526841,24.53,3.902,0.021
6351.KL,0.0378,0.4159,0.06783,-18521000,11.08,33.379,0.468
7083.KL,0.0127,0.0845,0.18518,14131000,7.03,7.106,0.213
0048.KL,,0,-0.04973,7918000,-,-1.786,-0.001
4758.KL,0.0084,0,0.0475,83327000,14.13,17.129,0.076
0226.KL,,0,-0.11063,-17392358,-,-29.391,-0.06
6556.KL,,0,-0.09122,-111373000,-,-17.162,-0.237
5082.KL,,0,-0.16415001,367243,-,-76.643,0.765
5568.KL,,1.3652999,0.11193,19555366,31.27,5.149,0.077
5088.KL,,0,0.17357999,-77077000,34.88,2.043,0.032
