Date,stock_code,rEPS,rDPS,rROE,rOM,rFCF,rPR,rPE,rDY
2023-06-30,5250,0.023,0.0,22.014,5.651,216.35,0.0,8754.338,0.0
2023-03-31,5250,0.014,0.0,10.469,4.594,63.64,0.0,14441.977,0.0
2022-12-31,5250,0.003,0.0,2.288,3.392,577.93,0.0,69784.902,0.0
2022-09-30,5250,0.012,0.0,10.967,5.578,448.08,0.0,16490.776,0.0
2022-06-30,5250,0.023,0.0,23.243,6.271,268.97,0.0,8741.327,0.0
2022-03-31,5250,0.022,0.0,21.317,7.368,131.27,0.0,9424.499,0.0
2021-12-31,5250,0.027,0.0,33.474,8.125,314.59,0.1,7217.124,0.001
2021-09-30,5250,0.001,0.0,2.447,4.484,155.09,0.0,156433.333,0.0
2023-06-30,7167,0.034,0.0,2.521,10.091,65.3,0.0,3712.939,0.0
2023-03-31,7167,0.023,0.0,1.746,7.096,36.58,0.0,5666.717,0.0
2022-12-31,7167,0.027,0.01,2.073,8.327,-30.1,37.019,4990.457,0.742
2022-09-30,7167,0.027,0.01,2.101,10.953,27.63,36.975,4910.622,0.753
2022-06-30,7167,0.041,0.015,3.221,10.201,27.21,36.558,3097.551,1.18
2022-03-31,7167,0.013,0.005,1.087,4.718,-11.29,37.379,9779.214,0.382
2021-12-31,7167,0.024,0.015,1.907,8.884,-1.21,63.674,5734.89,1.11
2021-09-30,7167,0.029,0.01,2.337,12.017,-2.51,35.12,4664.251,0.753
2023-06-30,7086,0.0,0.0,0.023,0.0,0.51,0.0,316680.0,0.0
2023-03-31,7086,0.0,0.0,0.209,6.207,0.42,0.0,36652.778,0.0
2022-12-31,7086,0.0,0.0,0.256,8.28,0.81,0.0,32387.727,0.0
2022-09-30,7086,0.0,0.0,0.187,5.932,0.52,0.0,37935.625,0.0
2022-06-30,7086,-0.001,0.0,-0.327,-21.429,0.45,-0.0,-22620.0,0.0
2022-03-31,7086,0.0,0.0,0.047,2.0,0.63,0.0,164937.5,0.0
2021-12-31,7086,-0.002,0.0,-1.376,-49.167,0.16,-0.0,-6038.39,0.0
2021-09-30,7086,-0.001,0.0,-0.441,-57.143,0.06,-0.0,-15972.895,0.0
2023-06-30,5198,0.0,0.0,0.057,8.694,-38.6,0.0,64000.0,0.0
2023-03-31,5198,-0.016,0.0,-1.853,-2.206,-14.19,-0.0,-2510.204,0.0
2022-12-31,5198,-0.012,0.0,-1.318,-2.881,81.93,-0.0,-3633.803,0.0
2022-09-30,5198,-0.003,0.0,-0.366,2.457,86.19,-0.0,-11400.0,0.0
2022-06-30,5198,0.014,0.0,1.588,16.099,77.41,0.0,2206.897,0.0
2022-03-31,5198,-0.011,0.0,-1.23,-5.62,36.01,-0.0,-3708.543,0.0
2021-12-31,5198,0.017,0.0,1.911,16.713,38.03,0.0,2472.843,0.0
2021-09-30,5198,-0.009,0.0,-1.052,-6.593,20.38,-0.0,-4047.337,0.0
